良心品牌,類型,地域,地區,地址,LATITUDE,LONGITUDE,REV_ADDR (For checking only),Map Pin Checked?,聯絡方法(電話/電郵),營業時間,資料來源,資料來源 2,Map Marked,良心行動,良心行動連結,良心行動永久備份連結
蜂鳥出版,出版,香港島,北角,"9/F, Lok’s Industrial Building, 204 Tsat Tsz Mui Road, North Point, Hong Kong ",22.290891,114.2075649,香港七姊妹七姊妹道204號駱氏工業大廈,Y,"hello@hummingpublishing.com 
",??,https://www.hummingpublishing.com/about/,,Y,,,
茶·原點,飲食,九龍,土瓜灣,土瓜灣馬頭圍道111號地下D號,22.313514,114.187778,香港土瓜灣馬頭圍道111-127D號馬頭圍道111-127D號,Y,2603 1711,星期一至日 12:00pm - 9:00pm,https://www.facebook.com/pages/category/Restaurant/茶原點-Original-Boba-Tea-430814004073996/,,Y,,,
老年犬專門店,零售,Online shop,Online shop,Online shop,,,,Y,9661 1763,/,https://zh-hk.facebook.com/pages/category/Pet-Supplies/O-DOG-老年犬專門店-167277760121725/,,,5/8 罷工,https://www.facebook.com/167277760121725/photos/a.300688930113940/1209582715891219/,https://archive.is/tnDrL
素食主意,飲食,香港島,北角,電氣道254-280號A座華凱大廈6號舖,22.2891546,114.1937253,香港北角電氣道254-280號華凱大廈,Y,2881 7996,星期一至六 12:00am - 10:00pm,,,Y,,,
生活書社,零售,新界,元朗,元朗鳳攸北街5-7號順豐大廈39號地鋪 ,22.4438492,114.0338412,香港元朗鳳攸北街5號順豐大廈,Y,6690 6081,星期二至日 12:00pm - 8:00pm,https://www.facebook.com/livingbookspacehk/,,Y,,,
無肉食,飲食,九龍,佐敦,佐敦德興街8號地下,22.3046533,114.172314,香港油麻地德興街7-8號禮苑大廈,Y,2668 6658,"星期一至日 11:30 - 15:30, 18:00 - 22:00",https://www.openrice.com/zh/hongkong/r-無肉食-佐敦-港式-無肉餐單-r539343,,,5/8 參與罷市,https://www.facebook.com/ahimsabuffet/photos/rpp.119559151717871/934043850269393/?type=3&theater,
無肉食,飲食,香港島,北角,北角堡壘街10-16號華曦大廈地下B舖,22.2895208,114.1965901,香港北角堡壘街10-16號華曦大廈,Y,2528 2368,"星期一至日 11:30 - 15:00, 18:00 - 22:00",https://www.openrice.com/zh/hongkong/r-無肉食-北角-港式-無肉餐單-r457216,,Y,5/8 參與罷市,https://www.facebook.com/ahimsabuffet/photos/rpp.119559151717871/934043850269393/?type=3&theater,
渣哥 一九九六 九龍灣店,飲食,九龍,九龍灣,九龍灣偉業街33號德福廣場一期P41號舖,22.3210652,114.2132768,香港九龍灣偉業街33號,Y,N/A,星期一至日 7:45am-10pm,https://zh-hk.facebook.com/JarGor1996/,,Y,5/8 支援示威,https://www.facebook.com/JarGor1996/posts/2387044391373588,
泰和堂中醫診所,醫療,九龍,佐敦,"油麻地白加士街2-8號栢嘉商業中心3樓302室
(佐敦港鐵站C2出口)",22.3035333,114.1708509,"Unit 306, 3/F, Parkes Commercial Centre, 2-8 Parkes St, Jordan, 香港",Y,3462 2749,星期一至日9:00 am - 8:00pm,http://www.taiwotonghk.com/,,,,,
泰和堂中醫診所,醫療,九龍,何文田,"九龍何文田佛光街80號何文田廣場2樓217鋪
(何文田地港鐵站A3出口)",22.3160893,114.1817005,香港採石山佛光街80號香港房屋委員會總部3座,Y,2146 2280,星期一至日9:00 am - 8:00pm,http://www.taiwotonghk.com/,,,,,
榕記車仔麵,飲食,九龍,九龍城,九龍城打鼓嶺道80號,22.330284,114.191691,香港九龍城打鼓嶺道76號打鼓嶺道76號,Y,3148 1489,星期二至日 11:30pm - 9:00pm,https://zh-hk.facebook.com/yungkeemin,,Y,為抗爭者提供水,https://www.facebook.com/yungkeemin/posts/2563025890421475,
榕記車仔麵,飲食,新界,將軍澳,將軍澳寶琳貿業路8號新都城中心3期21號地舖,,,,,,,,,,為抗爭者提供水,https://www.facebook.com/yungkeemin/posts/2563025890421475,
森林姿源 Forest Nature,零售,Online shop,Online shop,Online shop,,,,Y,,/,https://www.forestnature.com.hk/,,,5/8 罷工,https://www.facebook.com/forestnature.hk/posts/651110272056195,https://archive.is/PRdlW
柏雅動物診所,醫療,香港島,堅尼地城,堅尼地城吉席街9-15號吉利樓地下D舖,22.2836154,114.1292345,香港堅尼地城吉席街9-15號吉利樓,Y,3461 9126,星期一至日 9:00am-1:00am,https://zh-hk.facebook.com/prayaac/,,Y,,,
杜汶澤喱騷,媒體,N/A,N/A,N/A,,,,Y,N/A,N/A,https://www.facebook.com/officialchapmanto/,https://www.youtube.com/channel/UCU5MOgUdLqitxKZRZy9vnnw/featured,,5/8 罷工,https://www.facebook.com/officialchapmanto/posts/1449656995173316,
星晨旅遊,旅遊,九龍,九龍灣,九龍灣宏照道33號國際交易中心19樓9-12室,22.321035,114.2095356,香港九龍灣宏照道33號國際交易中心,Y,2519 8088,"星期一至五: 0900 - 1800
星期六: 休息
星期日及公眾假期: 休息",http://www.mst.com.hk/Branch.aspx,,,,,
星晨旅遊,旅遊,新界,元朗,青山公路211-223號 喜利大廈商場地下44-45號舖,22.444681,114.02533,香港元朗青山公路元朗段211-223號喜利大廈,Y,3519 3184,星期一至日: 1100 - 2000,http://www.mst.com.hk/Branch.aspx,,,,,
慢煮兩餐,飲食,香港島,中環,中環九如坊12號地舖,22.2846066,114.1528651,香港中環九如坊6-10號林氏大廈,Y,2686 8101,"星期一至六11:30am-3pm,5:30pm-9pm",https://www.openrice.com/zh/hongkong/r-慢煮兩餐-中環-粵菜-廣東-湯品-r560506,https://slowcookgoodfood.com/,Y,12/6 罷工,"https://www.metrodaily.hk/metro_news/星級老闆齊撐罷工-杜汶澤承諾不秋後算帳/
",
富善中西藥行,零售,新界,大埔,富善商場F123 號舖位,22.4538932,114.1745201,"富善邨富善商場6樓, 12號 On Po Rd, Tai Po, 香港",Y,26665595,星期一至日9am－9pm ,https://www.linkhk.com/tc/shop/18316,,Y,,,
啱channel,媒體,N/A,N/A,N/A,,,,Y,info@armchannel.tv,N/A,https://www.facebook.com/ArmChannelTV/,http://www.armchannel.tv/contact/,,"長期良心報道
",,
公平點 Fair Circle 佐敦 (門市),零售,九龍,佐敦,彌敦道216-228號恆豐中心地庫 1B層 28 號舖(1B-28),22.3043154,114.171982,香港油麻地彌敦道222號,Y,31888064,星期一至日 12pm - 8pm,https://www.hkfairtradepower.com/zh_hk-contact.html,,,,,
任你點車仔麵,飲食,九龍,九龍城,九龍城衙前圍道7號地舖,22.32873,114.191302,香港九龍城衙前圍道5號衙前圍道5號,Y,51148882,星期一至日11:00 am - 00:00am,https://www.openrice.com/zh/hongkong/r-任你點車仔麵-九龍城-港式-車仔麵-r588605,,Y,,,
WeatherPolis,零售,N/A,N/A,N/A,,,,Y,info@weatherpolis.com,N/A,https://weatherpolis.com/,,,5/8 罷工,https://www.facebook.com/weatherpolis/photos/a.425738651565222/514604902678596/,
Villa Villa Cafe&Bar,飲食,香港島,北角,北角錦屏街後街東發大厦25號A 地鋪,22.290376,114.200357,香港北角錦屏街21-61號東發大廈,Y,2777 9033,星期一至日 11:30-22:30,https://www.facebook.com/villavillacafe/,,Y,參與罷市,https://www.facebook.com/villavillacafe/photos/a.1095909097095045/2648429661842973/?type=3&theater,
URBAN SPACE,飲食,九龍,土瓜灣,土瓜灣美景街47號B地下,22.3168738,114.1909509,香港土瓜灣美景街49-61號安康大廈,Y,2522 6300,"星期一至六: 12:00-22:00
 星期日: 14:00-22:00
 星期四休息",https://zh-hk.facebook.com/urbanspace.hk,,Y,,,
Teakha,飲食,香港島,上環,上環太平山街18號,22.284433,114.148457,香港太平山太平山街18-18B號太寧樓,Y,2858 9185,"星期一、三及五 9am - 6pm
星期六、日及公衆假期休息 8.20am - 7pm
星期二休息",https://www.teakha.com/,,Y,12/6 罷工,https://www.facebook.com/teakhaHK/photos/a.142932515764086/2411752305548751/,
Studio Caffeine,飲食,九龍,佐敦,佐敦廟街284號地下,22.3039309,114.169822,香港油麻地廟街280-284號德興大廈,Y,27933480,"星期一至六 08:00 - 22:00; 
星期日 08:00 - 18:00",www.studiocaffeine.com.hk,,,5/8 罷工,https://www.facebook.com/StudioCaffeine/photos/p.2358274634416551/2358274634416551/?type=1,
Rings Coffee,飲食,九龍,九龍城,九龍城衙前塱道8號地下,22.328207,114.18938,香港九龍城衙前塱道10號衙前塱道10號,Y,9798 3510,"星期一至四 07:30 - 21:00
星期五 07:30 - 22:00
星期六 09:00 - 22:00
星期日 09:30 - 07:00
公眾假期 09:00 - 21:00
",https://www.openrice.com/zh/hongkong/r-rings-coffee-九龍城-西式-all-day-breakfast-r553203,,Y,,,
Paradise Pure Coconut Water,零售,Online shop,Online shop,Online shop (Facebook),,,,Y,/,/,https://www.facebook.com/pages/category/Product-Service/Paradise-pure-coconut-water-100天然純椰子水-512793125803793/,,,5/8 罷工,https://www.facebook.com/512793125803793/photos/a.516479518768487/787034278379675/,https://archive.is/0I2kR
Ohms cafe & bar,飲食,香港島,上環,太平山荷李活道192號店舖A,22.2852113,114.1482931,香港太平山荷李活道192A號,Y,5400 4236,星期一至日 12:00pm - 9:00pm,https://www.facebook.com/ohmshk2017/,,Y,,,
Mushroom,零售,Online shop,Online shop,Online shop,,,,Y,enquiry@mushroom.hk,N/A,https://shop.mushroom.hk/,,,,,
Lungo,飲食,九龍,九龍灣,九龍灣宏冠道6號鴻力工業中心B座地下B3B號舖,22.3226584,114.2083821,香港九龍灣宏冠道6號鴻力工業中心,Y,2581 3118,"星期一至六 08:00 - 20:00
",https://www.openrice.com/zh/hongkong/r-lungo-九龍灣-西式-沙律-r633301,,,5/8 參與罷市,https://www.facebook.com/Lungooo/posts/331315387755388,
Coffee+Space,飲食,香港島,北角,城市花園商場14座1樓95-96號舖,22.2899049,114.193765,香港北角電氣道233號城市花園14座,Y,3705 2595,星期二至日 10:00pm - 6:00pm,https://www.facebook.com/coffeespacehk,,Y,,,
CALL4VAN,運輸,N/A,N/A,N/A,,,,Y,6990 4567,N/A,https://www.call4van.hk,,N/A,5/8 罷工,https://www.facebook.com/IDS.CALL4VAN/photos/a.556757471079156/2374459352642283/,https://archive.is/UUg8G
Brew Note Coffee Roaster,飲食,香港島,北角,北角堡壘街19號地下,22.28988,114.196636,香港北角堡壘街19-19A號景文樓,Y,2562 9990,"星期一 休息 
星期二至日 8:30am - 7:00pm",https://www.facebook.com/brewnotecoffee/,,Y,為抗爭者提供休息場所,https://www.facebook.com/brewnotecoffee/posts/2354860027926405,
Avengers Kitchen & Bar,飲食,香港島,中環,中環嘉咸街45A號1樓,22.282401,114.152731,香港中環卑利街48-52A號嘉利大廈,Y,9210 9492,星期一至日 3:00pm - 11:00pm,https://zh-hk.facebook.com/Avengers-Kitchen-Bar-復仇者餐館-383456958880833/,,Y,,,
Around Wellington,飲食,香港島,中環,中環威靈頓街154號,22.2841588,114.1534909,香港中環威靈頓街160-164號曾昭灝大廈,Y,5420 0331,星期一至日 3:00pm - 11:00pm,https://www.openrice.com/zh/hongkong/r-around-wellington-中環-多國菜-r630004,,Y,5/8 參與罷市,https://www.facebook.com/2234007233322371/photos/a.2289370737786020/2396704967052596/?type=3&theater,
3rd Space,飲食,香港島,上環,太平山差館上街16號,22.2849791,114.1484872,香港太平山差館上街8號尚雅苑,Y,9220 9785,星期一至日 10:30am - 8:00pm,https://www.facebook.com/3rdspacehk/,,Y,5/8 參與罷市,https://www.facebook.com/3rdspacehk/photos/a.552850911504631/2265582736898098/?type=3&theater,
齊柏林熱狗店 Zeppelin Hot Dog,飲食,新界,屯門,"屯門龍門路43號龍門居第四座地下76A號舖
",22.3857562,113.9666106,香港屯門龍門路43號龍門居4座,,6297 1314,"星期一至日 12:00 - 22:00
",https://www.openrice.com/zh/hongkong/r-齊柏林熱狗店-屯門-西式-r567584,,,5/8 參與罷市,https://www.facebook.com/zeppelinhotdog/posts/1307243122772562,
齊柏林熱狗店 Zeppelin Hot Dog,飲食,新界,荃灣,"荃灣鱟地坊80-84號士林食街B7舖
",22.371,114.115164,香港荃灣鱟地坊80-84號華成樓B座,,5626 7695,星期一至日 12:00 - 22:00,https://www.openrice.com/zh/hongkong/r-齊柏林熱狗店-荃灣-西式-r451126,,,5/8 參與罷市,https://www.facebook.com/zeppelinhotdog/posts/1307243122772562,
齊柏林熱狗店 Zeppelin Hot Dog,飲食,香港島,西灣河,"西灣河筲箕灣道57-87號太安樓地下A55A號舖
",22.283063,114.2219687,香港西灣河筲箕灣道57-87號太安樓,,5744 2929,"星期一至日 12:00 - 00:00
",https://www.openrice.com/zh/hongkong/r-齊柏林熱狗店-西灣河-西式-r629470,,,5/8 參與罷市,https://www.facebook.com/zeppelinhotdog/posts/1307243122772562,
齊柏林熱狗店 Zeppelin Hot Dog,飲食,香港島,西環,"西環堅尼地城士美菲路71-77號嘉輝花園地下B舖
",22.280689,114.128653,香港堅尼地城士美菲路71號嘉輝花園D座,,5724 4744,"星期一至日 12:00 - 22:00
",https://www.openrice.com/zh/hongkong/r-齊柏林熱狗店-西環-西式-r601984,,,5/8 參與罷市,https://www.facebook.com/zeppelinhotdog/posts/1307243122772562,
鼎天茶室,飲食,新界,大埔,大埔安慈路3號翠屏花園商場地下3號舖,22.4532381,114.1678653,香港大埔安慈路3號,,37051486,"星期一至日 06:30 - 22:00
",https://www.openrice.com/zh/hongkong/r-鼎天茶室-大埔-港式-r552443,,,10/8 茶記花盡食材免費派飯,https://hk.lifestyle.appledaily.com/lifestyle/realtime/article/20190810/59913917,
點子出版 Idea Publication,出版社,新界,荃灣,"荃灣海盛路11號One MidTown 13樓20室 (辦公室, 取貨 only)",22.3724739,114.1077178,香港荃灣海盛路11號ONE MIDTOWN,,2389 8311,星期一至五 09:30 - 13:00或14:30 - 17:30 (預約制),https://www.ideapublication.com/,,,,,
麵匠風龍,飲食,香港島,灣仔,灣仔軒尼詩道184號地下,22.2774698,114.1740782,香港灣仔軒尼詩道180-186號軒尼詩道180-186號,,3905 4839,"星期一至日 12:00pm - 15:30, 18:00 - 22:30",https://www.openrice.com/zh/hongkong/r-麵匠風龍-灣仔-日本菜-拉麵-r603635,,,為抗爭者提供食物,https://www.facebook.com/537470633371893/photos/rpp.537470633371893/671548196630802/?type=3&theater,
魚木日台美食,飲食,新界,將軍澳,將軍澳毓雅里9號慧安商場地下A14號舖,22.3241999,114.2539035,香港魷魚灣毓雅里9號慧安園2座,,5597 2119,星期一至日12:00pm - 8:30pm,https://www.facebook.com/pages/category/Food---Beverage/魚木日台美食,,,5/8 參與罷市,https://www.facebook.com/%E9%AD%9A%E6%9C%A8%E6%97%A5%E5%8F%B0%E7%BE%8E%E9%A3%9F-183483239197071/?eid=ARBgKnsxv7qFrWsco_6cSaZZdpP9BeY-b5ule6xX5RD6K1wNNPJyMBDroLp3Z_n6VoaoQd0qIiclPf4V&fref=tag,
鬍鬚仔玩具,零售,九龍,旺角, 旺角洗衣街129號地下閣樓,22.3207246,114.1712881,香港旺角洗衣街129-135號泰怡大廈,,6226 1985,星期一至日 15:00 - 20:00,"https://www.ordergor.com/business/34264151/鬍鬚仔玩具-the-wuso
",,,,,
香港碳纖軚盤改裝專門店,汽車美容,/,/,/,,,,,/,/,https://www.facebook.com/racingtechhk/,https://www.instagram.com/racingtechhk/,,INBOX車隊可以車你到安全地方,From Telegram Photo,
順逆珈琲酒館,飲食,香港島,上環,"上環荷李活道192號地下A舖 (港鐵西營盤站 A1 出口, 步行約7分鐘)",22.2839233,114.150811,香港太平山荷李活道108號聚賢居2座,,54004236,星期一至日12:00 - 21:00,https://www.openrice.com/zh/hongkong/r-順逆珈琲酒館-上環-多國菜-酒-r501308,,,12/6 參與罷市,https://www.facebook.com/ohmshk2017/photos/a.1028133737240049/2225700947483316/?type=3&theater,
韻喬教育,補習,九龍,深水埗,"Room 806, Chong Fat Commercial Building, 266-268 Cheung Sha Wan Road",22.332046,114.1608895,香港菴由長沙灣道266-268號昌發大廈,,6763 6484,星期二至日 11:30pm - 8:00pm,https://www.facebook.com/DoubleStarEducation/,,,,,
隱啡,飲食,新界,屯門,屯門青山公路新墟段109號好運洋樓地下6號舖,22.397283,113.977105,香港新墟青山公路新墟段97號好運洋樓,,64901236,"星期一至五, 公眾假期及前夕 10:00 - 20:00
星期六及日 09:00 - 20:00
 ",https://www.facebook.com/HiddenCoffeeHK/,,,5/8 罷工,https://www.facebook.com/HiddenCoffeeHK/photos/a.567351776775290/1219209811589480/?type=3&theater,
陸陸雞煲火鍋店,飲食,九龍,尖沙咀,尖沙咀松山道15號地下D鋪,22.3032071,114.1733357,香港尖沙咀柯士甸道124-126號帝寶樓,,2702 9666,星期一至日6:00 pm - 2:00am,http://www.66catering.com.hk/index.html,,,5/8 罷工,https://www.facebook.com/66HotPot/photos/a.192746920857362/1624741750991198/?type=3&theater,
陸陸雞煲火鍋店,飲食,九龍,旺角,旺角奶路臣街33號地下F鋪(泉章居側),22.3190207,114.1727169,香港旺角染布房街12-14A號依利大廈,,2392 4966,星期一至日6:00 pm - 2:00am,http://www.66catering.com.hk/index.html,,,5/8 罷工,https://www.facebook.com/66HotPot/photos/a.192746920857362/1624741750991198/?type=3&theater,
陸陸雞煲火鍋店,飲食,九龍,旺角,旺角白布街16號地下,22.3177428,114.1729337,香港旺角白布街2-24號藝興大廈,,2363 8466,星期一至日6:00 pm - 2:00am,http://www.66catering.com.hk/index.html,,,5/8 罷工,https://www.facebook.com/66HotPot/photos/a.192746920857362/1624741750991198/?type=3&theater,
阿布泰國生活百貨,零售,香港島,太古康怡,香港太古康山道1-2號太古康怡廣場北翼1樓F22B號舖,22.2847107,114.2161102,香港康山康山道2號,,​3590 4769,星期一至日 10:00am - 10:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,將軍澳,坑口培成路將軍澳商場1樓137號舖蔚藍灣畔3座,22.3160036,114.2646188,香港坑口培成路15號,,2522 2910,星期一至日11:00 am - 10:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,將軍澳,"將軍澳欣景路8號Popup A5, 1/F., Metro City Phase II",22.3231863,114.2577924,"Metro City Plaza II, 8 Yan King Rd, Metro City, 香港",,2522 8982,星期一至日11:00 am - 10:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,屯門,屯門屯隆街3號HK 新界 屯門 屯門市廣場2期 UG層18號舖 ,22.3939482,113.9761668,香港屯門屯順街1號,,​3996 7834,星期一至日10:00 am - 10:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,荃灣,荃灣蕙荃路22-66號HK 新界 荃灣 蕙荃路22-66號 綠楊坊LG層G27A舖,22.3734673,114.1194336,香港荃灣蕙荃路22-66號,,3628 2527,星期一至日12:00 am - 9:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,香港島,銅鑼灣,"銅鑼灣加寧街6號Mono Mono G01號舖 Shop G01, Mono Mono, 6 Cleveland Street, Fashion Walk名店坊號地下",22.282232,114.185864,香港銅鑼灣加寧街6號,,2716 9777,星期一至日12:00pm - 9:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,九龍,鑽石山,鑽石山荷里活廣場 296號舖,22.340633,114.2020468,香港大磡龍蟠街3號荷里活廣場,,​2522 8630,星期一至日12:00 am - 9:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,青衣,"青衣青敬路33號HK 新界 青衣 青衣城1期1樓150C號舖 Shop 150C, 1/F, Maritime Square",22.3592713,114.1082266,香港青衣青敬路33號,,​2716 9777,星期一至日11:00 am - 10:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,馬鞍山,馬鞍山 鞍祿街18號 新港城中心四期 2樓 2501號舖,22.4241753,114.23178,香港馬鞍山西沙路628號新港城,,3628 2692,星期一至日11:00 am - 10:00pm,https://www.abouthai.com,,,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
金祥排骨麵,飲食,香港島,西環,西環西營盤德輔道西316號地下C舖,22.2872151,114.1387216,香港西環德輔道西316-320號標準大廈,,28576738,星期一至日: 11:00-22:30,https://www.openrice.com/zh/hongkong/r-金祥排骨麵-西環-滬菜-上海-r20984,,,讓示威者進內,https://www.facebook.com/permalink.php?story_fbid=383604025466675&id=149762368850843,
遵理學校,補習,新界,將軍澳,新界將軍澳運亨路1號新都城中心1期商場地下G8號舖,22.3212578,114.2575118,香港新都城運亨路1號新都城一期3座,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
